Rank,Club,Country,Level,Elo,From,To
81,Bodoe Glimt,NOR,1,1646.49621582,2025-08-22,2025-08-26
82,Wolfsburg,GER,1,1644.45446777,2025-08-24,2025-08-31
83,Getafe,ESP,1,1642.19091797,2025-08-22,2025-08-25
84,Mallorca,ESP,1,1636.25891113,2025-08-24,2025-08-30
85,Sevilla,ESP,1,1634.03039551,2025-08-22,2025-08-25
86,Alkmaar,NED,1,1632.64111328,2025-08-22,2025-08-24
87,Genk,BEL,1,1632.3927002,2025-08-24,2025-08-31
88,Gladbach,GER,1,1631.20983887,2025-08-22,2025-08-24
89,Auxerre,FRA,1,1628.70776367,2025-08-24,2025-08-31
90,Girona,ESP,1,1623.78796387,2025-08-22,2025-08-24
91,Udinese,ITA,1,1620.44042969,2025-08-22,2025-08-25
92,FC Krasnodar,RUS,1,1619.69165039,2025-08-20,2025-08-31
93,Augsburg,GER,1,1617.39013672,2025-08-24,2025-08-30
94,Union Berlin,GER,1,1615.89526367,2025-08-24,2025-08-31
95,Midtjylland,DEN,1,1612.9017334,2025-08-22,2025-08-24
96,Leicester,ENG,2,1611.66882324,2025-08-22,2025-08-31
97,Levante,ESP,1,1604.8137207,2025-08-24,2025-08-29
98,Hoffenheim,GER,1,1604.57092285,2025-08-24,2025-08-30
99,Parma,ITA,1,1603.15893555,2025-08-22,2025-08-24
100,Cagliari,ITA,1,1602.46313477,2025-08-22,2025-08-24
None,Rangers,SCO,1,1602.0949707,2025-08-22,2025-08-24
None,Leganes,ESP,2,1598.35986328,2025-08-23,2025-08-31
None,Utrecht,NED,1,1597.35180664,2025-08-22,2025-08-24
None,Sassuolo,ITA,1,1597.09326172,2025-08-24,2025-08-29
None,Verona,ITA,1,1595.25085449,2025-08-22,2025-08-25
None,Sheffield United,ENG,2,1592.3614502,2025-08-22,2025-08-31
None,Crvena Zvezda,SRB,1,1590.57739258,2025-08-20,2025-08-26
None,Anderlecht,BEL,1,1589.35461426,2025-08-22,2025-08-24
None,Sparta Praha,CZE,1,1587.9230957,2025-08-22,2025-08-24
None,Elche,ESP,1,1587.40283203,2025-08-24,2025-08-29
None,Ipswich,ENG,2,1585.59521484,2025-08-22,2025-08-31
None,Oviedo,ESP,1,1584.32080078,2025-08-22,2025-08-24
None,Lorient,FRA,1,1583.80175781,2025-08-22,2025-08-24
None,Reims,FRA,2,1583.73693848,2025-08-22,2025-08-31
None,Lecce,ITA,1,1583.23474121,2025-08-24,2025-08-29
None,Viktoria Plzen,CZE,1,1581.91418457,2025-08-24,2025-08-31
None,CSKA Moskva,RUS,1,1581.68469238,2025-07-22,2025-08-31
None,Guimaraes,POR,1,1580.83032227,2025-08-24,2025-08-31
None,Brondby,DEN,1,1579.21789551,2025-08-22,2025-08-24
None,Nantes,FRA,1,1579.15869141,2025-08-22,2025-08-24
None,Empoli,ITA,2,1577.84558105,2025-08-24,2025-08-31
None,Spartak Moskva,RUS,1,1577.27172852,2025-07-20,2025-08-31
None,St Pauli,GER,1,1575.83752441,2025-08-24,2025-08-29
None,Sunderland,ENG,1,1567.9564209,2025-08-24,2025-08-30
None,Twente,NED,1,1563.65344238,2025-08-22,2025-08-24
None,Metz,FRA,1,1563.6270752,2025-08-24,2025-08-31
None,Southampton,ENG,2,1561.1887207,2025-08-22,2025-08-31
None,Las Palmas,ESP,2,1558.20153809,2025-08-22,2025-08-25
None,Venezia,ITA,2,1557.74829102,2025-08-22,2025-08-24
None,Heidenheim,GER,1,1557.45556641,2025-08-24,2025-08-30
None,Salzburg,AUT,1,1556.95458984,2025-08-24,2025-08-31
None,Antwerp,BEL,1,1554.35498047,2025-08-22,2025-08-24
None,Middlesbrough,ENG,2,1553.7376709,2025-08-22,2025-08-31
None,Coventry,ENG,2,1553.59020996,2025-08-22,2025-08-31
None,Dynamo Moskva,RUS,1,1553.48913574,2025-07-19,2025-08-31
None,Mirandes,ESP,2,1553.44384766,2025-08-24,2025-08-31
None,Hamburg,GER,1,1553.27563477,2025-08-22,2025-08-24
None,Koeln,GER,1,1550.92492676,2025-08-22,2025-08-24
None,PAOK,GRE,1,1550.62780762,2025-08-22,2025-08-24
None,West Brom,ENG,2,1550.24108887,2025-08-22,2025-08-31
None,Le Havre,FRA,1,1543.98547363,2025-08-22,2025-08-24
None,AEK,GRE,1,1543.4888916,2025-08-22,2025-08-24
None,Rakow,POL,1,1542.80065918,2025-08-22,2025-08-31
None,Shakhtar,UKR,1,1542.18945312,2025-08-22,2025-08-31
None,Cremonese,ITA,1,1542.05102539,2025-08-24,2025-08-29
None,Almeria,ESP,2,1540.62231445,2025-08-22,2025-08-24
None,Bristol City,ENG,2,1539.70129395,2025-08-22,2025-08-31
None,Angers,FRA,1,1538.90979004,2025-08-23,2025-08-31
None,Famalicao,POR,1,1535.7409668,2025-08-22,2025-08-24
None,Lok Moskva,RUS,1,1534.22106934,2025-07-20,2025-08-31
None,Saint-Etienne,FRA,2,1534.09362793,2025-08-24,2025-08-31
None,Sturm Graz,AUT,1,1532.7409668,2025-08-24,2025-08-26
None,Dinamo Zagreb,CRO,1,1532.37133789,2025-08-24,2025-08-31
None,Mjaellby,SWE,1,1531.70397949,2025-08-22,2025-08-25
None,Pisa,ITA,1,1531.65490723,2025-08-22,2025-08-24
None,Bochum,GER,2,1531.6072998,2025-08-24,2025-08-31
None,Panathinaikos,GRE,1,1531.39733887,2025-08-22,2025-08-24
None,M Tel Aviv,ISR,1,1530.29748535,2025-08-24,2025-08-31
None,Paris FC,FRA,1,1530.29150391,2025-08-24,2025-08-31
None,Santander,ESP,2,1529.13818359,2025-08-22,2025-08-25
None,Malmoe,SWE,1,1528.62402344,2025-08-22,2025-08-24
None,Cadiz,ESP,2,1527.84545898,2025-08-23,2025-08-31
None,Karabakh Agdam,AZE,0,1527.55432129,2025-08-20,2025-08-27
None,Viking,NOR,1,1527.19506836,2025-08-22,2025-08-31
None,Paphos,CYP,0,1526.10864258,2025-08-22,2025-08-26
None,Nijmegen,NED,1,1525.22045898,2025-08-22,2025-08-24
None,Eibar,ESP,2,1525.06738281,2025-08-23,2025-08-31
None,Spezia,ITA,2,1523.44287109,2025-08-22,2025-08-24
None,Hammarby,SWE,1,1519.80371094,2025-08-22,2025-08-24
None,Monza,ITA,2,1519.32800293,2025-08-24,2025-08-31
None,Millwall,ENG,2,1517.99182129,2025-08-22,2025-08-31
None,Swansea,ENG,2,1515.74291992,2025-08-22,2025-08-31
None,Granada,ESP,2,1514.25073242,2025-08-23,2025-08-31
None,Brann,NOR,1,1512.8614502,2025-08-22,2025-08-24
None,Besiktas,TUR,1,1511.46679688,2025-08-22,2025-08-24
None,Basel,SUI,1,1509.6348877,2025-08-22,2025-08-27
None,Holstein,GER,2,1509.48876953,2025-08-22,2025-08-24
None,Lech,POL,1,1506.9597168,2025-08-22,2025-08-31
None,Norwich,ENG,2,1506.71252441,2025-08-22,2025-08-31
None,Jablonec,CZE,1,1503.31958008,2025-08-24,2025-08-31
None,Mechelen,BEL,1,1503.21984863,2025-08-22,2025-08-24
None,Go Ahead Eagles,NED,1,1502.49731445,2025-08-24,2025-08-30
None,Huesca,ESP,2,1502.30834961,2025-08-24,2025-08-31
None,Stoke,ENG,2,1502.08239746,2025-08-22,2025-08-31
None,Charleroi,BEL,1,1502.04370117,2025-08-24,2025-08-31
None,Ferencvaros,HUN,1,1501.69934082,2025-08-22,2025-08-27
None,Hull,ENG,2,1501.03210449,2025-08-22,2025-08-31
None,Sparta Rotterdam,NED,1,1501.00268555,2025-08-24,2025-08-31
None,Legia,POL,1,1500.01965332,2025-08-22,2025-08-24
None,Albacete,ESP,2,1499.89782715,2025-08-22,2025-08-25
None,Jagiellonia,POL,1,1499.8260498,2025-08-22,2025-08-24
None,Paderborn,GER,2,1497.2376709,2025-08-24,2025-08-31
None,Elfsborg,SWE,1,1496.2244873,2025-08-22,2025-08-24
None,Elversberg,GER,2,1496.16955566,2025-08-23,2025-08-31
None,Blackburn,ENG,2,1494.8815918,2025-08-22,2025-08-31
None,Nordsjaelland,DEN,1,1494.19445801,2025-08-22,2025-08-25
None,Gijon,ESP,2,1493.36486816,2025-08-24,2025-08-31
None,Young Boys,SUI,1,1492.98815918,2025-08-22,2025-08-31
None,Trabzonspor,TUR,1,1492.73083496,2025-08-22,2025-08-24
None,Hannover,GER,2,1490.85461426,2025-08-24,2025-08-31
None,Karlsruhe,GER,2,1489.67785645,2025-08-24,2025-08-30
None,Banik Ostrava,CZE,1,1489.05908203,2025-08-22,2025-08-24
None,Dynamo Kyiv,UKR,1,1486.98815918,2025-08-22,2025-08-31
None,Montpellier,FRA,2,1486.67822266,2025-08-24,2025-08-31
None,Burgos,ESP,2,1483.80090332,2025-08-22,2025-08-24
None,QPR,ENG,2,1483.19665527,2025-08-22,2025-08-31
None,Beer-Sheva,ISR,1,1483.02160645,2025-08-22,2025-08-24
None,Moreirense,POR,1,1482.85131836,2025-08-24,2025-08-31
None,Zwolle,NED,1,1482.45422363,2025-08-22,2025-08-24
None,Aarhus,DEN,1,1482.18383789,2025-08-22,2025-08-24
None,Arouca,POR,1,1482.02941895,2025-08-24,2025-08-31
None,Preston,ENG,2,1481.86779785,2025-08-22,2025-08-31
None,Djurgarden,SWE,1,1480.64074707,2025-08-22,2025-08-24
None,Bueyueksehir,TUR,1,1479.1595459,2025-08-22,2025-08-24
None,Larnaca,CYP,0,1479.15588379,2025-08-22,2025-08-31
None,Portsmouth,ENG,2,1478.95336914,2025-08-22,2025-08-31
None,Rosenborg,NOR,1,1477.58056641,2025-08-24,2025-08-31
None,Gent,BEL,1,1476.94494629,2025-08-22,2025-08-24
None,Valladolid,ESP,2,1476.55761719,2025-08-23,2025-08-31
None,Depor,ESP,2,1475.25964355,2025-08-22,2025-08-24
None,Omonia,CYP,0,1474.7677002,2025-08-22,2025-08-31
None,Casa Pia,POR,1,1473.85778809,2025-08-22,2025-08-24
None,St Truiden,BEL,1,1472.59130859,2025-08-24,2025-08-29
None,Aris Limassol,CYP,0,1472.10717773,2025-08-22,2025-08-31
None,Randers,DEN,1,1471.61938477,2025-08-22,2025-08-24
None,Watford,ENG,2,1471.35766602,2025-08-22,2025-08-31
None,Estoril,POR,1,1469.79650879,2025-08-22,2025-08-24
None,Duesseldorf,GER,2,1469.40466309,2025-08-24,2025-08-30
None,Santa Clara,POR,1,1468.69189453,2025-08-22,2025-08-24
None,Darmstadt,GER,2,1468.52697754,2025-08-22,2025-08-24
None,Sheffield Weds,ENG,2,1468.34228516,2025-08-22,2025-08-31
None,Palermo,ITA,2,1467.75061035,2025-08-24,2025-08-31
None,Wolfsberg,AUT,1,1467.2331543,2025-08-22,2025-08-24
None,Steaua,ROM,1,1466.03588867,2025-08-22,2025-08-31
None,Razgrad,BUL,1,1465.51855469,2025-08-22,2025-08-25
None,Sampdoria,ITA,2,1461.74841309,2025-08-22,2025-08-25
None,Cordoba,ESP,2,1461.54199219,2025-08-22,2025-08-25
None,Catanzaro,ITA,2,1461.26281738,2025-08-22,2025-08-24
None,Rubin Kazan,RUS,1,1460.34350586,2025-07-21,2025-08-31
None,Silkeborg,DEN,1,1459.44567871,2025-08-22,2025-08-24
None,Craiova,ROM,1,1456.74853516,2025-08-22,2025-08-24
None,Viborg,DEN,1,1455.87182617,2025-08-22,2025-08-25
None,Samsunspor,TUR,1,1455.65539551,2025-08-22,2025-08-31
None,Castellon,ESP,2,1455.2479248,2025-08-23,2025-08-31
None,Cercle Brugge,BEL,1,1455.07519531,2025-08-24,2025-08-29
None,Rio Ave,POR,1,1454.95385742,2025-08-24,2025-08-31
None,Molde,NOR,1,1453.62158203,2025-08-22,2025-08-24
None,Juve Stabia,ITA,2,1452.7220459,2025-08-24,2025-08-31
None,Guingamp,FRA,2,1451.93652344,2025-08-24,2025-08-31
None,Magdeburg,GER,2,1451.79248047,2025-08-24,2025-08-31
None,Rostov,RUS,1,1451.55566406,2025-07-21,2025-08-31
None,Standard,BEL,1,1451.00354004,2025-08-24,2025-08-31
None,Westerlo,BEL,1,1449.81896973,2025-08-24,2025-08-31
None,Malaga,ESP,2,1448.90527344,2025-08-22,2025-08-24
None,Bastia,FRA,2,1448.07519531,2025-08-23,2025-08-31
None,Gil Vicente,POR,1,1447.97094727,2025-08-22,2025-08-24
None,Derby,ENG,2,1447.90185547,2025-08-22,2025-08-31
None,Pogon,POL,1,1446.66015625,2025-08-23,2025-08-31
None,Oxford,ENG,2,1445.77246094,2025-08-22,2025-08-31
None,Hertha,GER,2,1444.97265625,2025-08-22,2025-08-24
None,Suedtirol,ITA,2,1444.89648438,2025-08-22,2025-08-24
None,Lautern,GER,2,1444.86865234,2025-08-23,2025-08-31
None,Zaragoza,ESP,2,1443.33740234,2025-08-24,2025-08-31
None,Troyes,FRA,2,1442.25952148,2025-08-24,2025-08-31
None,AIK,SWE,1,1440.58410645,2025-08-22,2025-08-24
None,Bari,ITA,2,1439.56762695,2025-08-22,2025-08-24
None,Hibernian,SCO,1,1438.04150391,2025-08-24,2025-08-31
None,Birmingham,ENG,2,1437.29406738,2025-08-22,2025-08-31
None,Gornik,POL,1,1436.96826172,2025-08-24,2025-08-31
None,Dunkerque,FRA,2,1436.66357422,2025-08-23,2025-08-31
None,Heerenveen,NED,1,1435.21191406,2025-08-22,2025-08-24
None,Charlton,ENG,2,1435.04663086,2025-08-22,2025-08-31
None,Cracovia,POL,1,1434.81933594,2025-08-22,2025-08-24
None,Austria Wien,AUT,1,1434.81811523,2025-08-22,2025-08-24
None,Tromso,NOR,1,1433.95910645,2025-08-22,2025-08-24
None,Cesena,ITA,2,1433.81640625,2025-08-23,2025-08-31
None,Laval,FRA,2,1432.67456055,2025-08-23,2025-08-31
None,Sociedad B,ESP,2,1432.47644043,2025-08-22,2025-08-24
None,Aris,GRE,1,1432.46972656,2025-08-24,2025-08-31
None,CFR Cluj,ROM,1,1431.52624512,2025-08-22,2025-08-24
None,Rapid Wien,AUT,1,1431.15087891,2025-08-22,2025-08-24
None,Andorra CF,ESP,2,1431.02160645,2025-08-24,2025-08-31
None,Maccabi Haifa,ISR,1,1429.54980469,2025-08-24,2025-08-31
None,StGallen,SUI,1,1428.47045898,2025-08-22,2025-08-24
None,Hearts,SCO,1,1428.39086914,2025-08-24,2025-08-30
None,Servette,SUI,1,1427.75756836,2025-08-24,2025-08-31
None,Konyaspor,TUR,1,1425.0300293,2025-08-22,2025-08-24
None,Hajduk,CRO,1,1423.09887695,2025-08-22,2025-08-24
None,Rodez,FRA,2,1422.5949707,2025-08-23,2025-08-31
None,Modena,ITA,2,1422.39465332,2025-08-22,2025-08-25
None,GAIS,SWE,1,1421.60253906,2025-08-22,2025-08-25
None,Leuven,BEL,1,1421.05395508,2025-08-22,2025-08-24
None,Rijeka,CRO,1,1419.28808594,2025-08-22,2025-08-31
None,Goeztepe,TUR,1,1418.82836914,2025-08-23,2025-08-29
None,Kasimpasa,TUR,1,1418.4407959,2025-08-22,2025-08-31
None,LASK,AUT,1,1418.17272949,2025-08-24,2025-08-31
None,Annecy,FRA,2,1416.75366211,2025-08-23,2025-08-31
None,Ceuta,ESP,2,1416.49133301,2025-08-24,2025-08-31
None,Alanyaspor,TUR,1,1415.8717041,2025-08-22,2025-08-25
None,Leonesa,ESP,2,1415.1361084,2025-08-22,2025-08-24
None,Groningen,NED,1,1415.02282715,2025-08-24,2025-08-29
None,Puskas Akademia,HUN,1,1414.93212891,2025-08-23,2025-08-31
None,Celje,SVN,1,1414.44689941,2025-08-22,2025-08-24
None,Clermont,FRA,2,1414.1574707,2025-08-23,2025-08-31
None,Nuernberg,GER,2,1414.0279541,2025-08-23,2025-08-31
None,Sittard,NED,1,1413.90234375,2025-08-22,2025-08-31
None,Wrexham,ENG,2,1412.58837891,2025-08-22,2025-08-31
None,Mantova,ITA,2,1412.11242676,2025-08-24,2025-08-31
None,Carrarese,ITA,2,1411.44067383,2025-08-22,2025-08-24
None,Levski,BUL,1,1409.6550293,2025-08-22,2025-08-24
None,Schalke,GER,2,1409.08764648,2025-08-24,2025-08-31
None,Piast Gliwice,POL,1,1408.58691406,2025-08-22,2025-08-24
None,Nacional,POR,1,1408.48657227,2025-08-24,2025-08-31
None,Reggiana,ITA,2,1407.47241211,2025-08-24,2025-08-31
None,Slovan Liberec,CZE,1,1407.37329102,2025-08-24,2025-08-31
None,Lausanne,SUI,1,1407.01660156,2025-08-22,2025-08-24
None,Grenoble,FRA,2,1405.52478027,2025-08-23,2025-08-31
None,Kayseri,TUR,1,1404.71130371,2025-08-22,2025-08-24
None,Muenster,GER,2,1403.16833496,2025-08-23,2025-08-31
None,Haecken,SWE,1,1402.76794434,2025-08-22,2025-08-24
None,Amiens,FRA,2,1402.18432617,2025-08-23,2025-08-31
None,Fuerth,GER,2,1400.81616211,2025-08-22,2025-08-24
None,Goeteborg,SWE,1,1399.79577637,2025-08-22,2025-08-24
None,Pau,FRA,2,1397.0279541,2025-08-22,2025-08-31
None,Partizan,SRB,1,1396.48547363,2025-08-20,2025-08-24
None,Hradec Kralove,CZE,1,1395.3536377,2025-08-22,2025-08-24
None,Korona,POL,1,1395.09802246,2025-08-24,2025-08-31
None,KFUM Oslo,NOR,1,1394.47607422,2025-08-23,2025-08-31
None,Heracles,NED,1,1393.61425781,2025-08-22,2025-08-24
None,Dender,BEL,1,1392.4119873,2025-08-22,2025-08-24
None,Fredrikstad,NOR,1,1392.38269043,2025-08-22,2025-08-24
None,Braunschweig,GER,2,1392.02197266,2025-08-24,2025-08-31
None,Kryliya Sovetov,RUS,1,1390.16931152,2025-07-20,2025-08-31
None,Radomiak,POL,1,1388.80615234,2025-08-23,2025-08-31
None,Zuerich,SUI,1,1388.09887695,2025-08-24,2025-08-31
None,Slovan Bratislava,SLK,0,1387.93701172,2025-08-22,2025-08-31
None,Rizespor,TUR,1,1385.71166992,2025-08-22,2025-08-24
None,Antalyaspor,TUR,1,1383.54919434,2025-08-22,2025-08-24
None,Sigma Olomouc,CZE,1,1383.50634766,2025-08-22,2025-08-24
None,Sandefjord,NOR,1,1382.58349609,2025-08-24,2025-08-31
None,Nancy,FRA,2,1381.9630127,2025-08-23,2025-08-31
None,Bielefeld,GER,2,1380.06750488,2025-08-22,2025-08-24
None,Katowice,POL,1,1379.44238281,2025-08-24,2025-08-31
None,Rapid Bucuresti,ROM,1,1379.41540527,2025-08-23,2025-08-31
None,Estrela Amadora,POR,1,1378.61193848,2025-08-22,2025-08-25
None,Luzern,SUI,1,1376.90283203,2025-08-22,2025-08-24
None,Baltika,RUS,1,1376.85705566,2025-07-19,2025-08-31
None,Gyoer,HUN,1,1374.64135742,2025-08-22,2025-08-31
None,Tondela,POR,1,1374.47302246,2025-08-24,2025-08-31
None,Pescara,ITA,2,1374.41442871,2025-08-23,2025-08-31
None,Padova,ITA,2,1374.41442871,2025-08-24,2025-08-31
None,Entella,ITA,2,1374.41442871,2025-08-24,2025-08-31
None,Paksi,HUN,1,1373.51843262,2025-08-22,2025-08-24
None,Alverca,POR,1,1373.41479492,2025-08-22,2025-08-25
None,St Mirren,SCO,1,1372.48718262,2025-08-22,2025-08-24
None,Sarpsborg,NOR,1,1369.87304688,2025-08-22,2025-08-25
None,Plock,POL,1,1369.36364746,2025-08-22,2025-08-25
None,Le Mans,FRA,2,1369.23742676,2025-08-23,2025-08-31
None,Lugano,SUI,1,1369.14123535,2025-08-22,2025-08-24
None,Fredericia,DEN,1,1368.97668457,2025-08-22,2025-08-24
None,SonderjyskE,DEN,1,1368.79589844,2025-08-22,2025-08-24
None,Terek Grozny,RUS,1,1366.85620117,2025-07-21,2025-08-31
None,Boulogne,FRA,2,1365.59277344,2025-08-24,2025-08-31
None,Sochi,RUS,1,1365.30834961,2025-07-20,2025-08-31
None,Gaziantep FK,TUR,1,1365.30053711,2025-08-24,2025-08-31
None,IK Sirius,SWE,1,1363.93200684,2025-08-22,2025-08-24
None,Red Star,FRA,2,1363.36608887,2025-08-24,2025-08-31
None,Widzew,POL,1,1362.55688477,2025-08-23,2025-08-31
None,Eyupspor,TUR,1,1361.80822754,2025-08-22,2025-08-25
None,Vejle,DEN,1,1361.56298828,2025-08-22,2025-08-24
None,Lubin,POL,1,1360.04284668,2025-08-22,2025-08-25
None,Breda,NED,1,1359.67810059,2025-08-22,2025-08-24
None,Volendam,NED,1,1358.83374023,2025-08-24,2025-08-30
None,Hartberg,AUT,1,1357.30065918,2025-08-22,2025-08-24
None,Motor Lublin,POL,1,1357.21435547,2025-08-24,2025-08-31
None,Sion,SUI,1,1356.04943848,2025-08-24,2025-08-31
None,Universitatea Cluj,ROM,1,1350.76599121,2025-08-24,2025-08-31
None,Akron Togliatti,RUS,1,1350.44165039,2025-07-20,2025-08-31
None,Odense,DEN,1,1349.98754883,2025-08-24,2025-08-31
None,CSKA Sofia,BUL,1,1348.31616211,2025-08-22,2025-08-24
None,FK Astana,KAZ,0,1348.26428223,2025-08-21,2025-08-31
None,Bohemians Praha,CZE,1,1348.20214844,2025-08-22,2025-08-24
None,Maribor,SVN,1,1347.91430664,2025-08-24,2025-08-31
None,Nieciecza,POL,1,1347.67651367,2025-08-23,2025-08-31
None,Hapoel Haifa,ISR,1,1347.65026855,2025-08-24,2025-08-31
None,Orenburg,RUS,1,1346.83630371,2025-07-22,2025-08-31
None,AVS Futebol,POR,1,1346.32556152,2025-08-22,2025-08-24
None,Dynamo Makhachkala,RUS,1,1343.25708008,2025-07-20,2025-08-31
None,Mlada Boleslav,CZE,1,1342.96240234,2025-08-22,2025-08-24
None,Olimpija Ljubljana,SVN,1,1342.32519531,2025-08-22,2025-08-24
None,Cherno More,BUL,1,1341.07165527,2025-08-24,2025-08-31
None,Trnava,SLK,0,1340.93896484,2025-08-22,2025-08-31
None,Zilina,SLK,0,1340.65148926,2025-08-22,2025-08-31
None,Valerenga,NOR,1,1340.48876953,2025-08-22,2025-08-24
None,Teplice,CZE,1,1340.44458008,2025-08-24,2025-08-31
None,Excelsior,NED,1,1340.16235352,2025-08-22,2025-08-24
None,Zulte Waregem,BEL,1,1339.85314941,2025-08-24,2025-08-31
None,Aberdeen,SCO,1,1338.6751709,2025-08-22,2025-08-31
None,Telstar,NED,1,1338.00744629,2025-08-24,2025-08-30
None,Istra 1961,CRO,1,1337.61560059,2025-08-24,2025-08-31
